Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
0.763435	2.30259	4.89784	3.21888	1.60944	6.32615	4.51086	5.34711
0.789839	2.30259	6.62141	3.89182	3.04452	6.85224	4.64439	5.56834
0.809308	2.19722	6.62274	4.02535	2.30259	6.48616	3.46574	5.52943
0.829311	3.13549	6.72503	3.8712	2.83321	6.76273	4.63473	5.69709
0.851847	2.30259	6.63595	3.91202	2.99573	6.8773	4.70048	5.46806
0.874517	2.30259	6.62407	3.91202	2.99573	7.07157	4.67283	5.52146
0.90012	2.30259	6.62672	3.95124	2.89037	7.03086	4.29046	5.37064
0.923323	2.19722	6.62141	3.91202	2.99573	7.19594	4.31749	5.3845
0.948793	2.48491	6.62141	3.91202	2.30259	7.58019	4.45435	5.42495
0.97373	2.30259	6.61607	3.95124	2.94444	8.18897	4.77068	5.50533
-1	2.19722	6.63726	3.91202	2.99573	10.8051	6.87316	6.65286
-0.97373	2.3979	6.62672	3.95124	2.89037	8.06903	4.70048	5.46806
-0.948527	2.3979	6.62141	3.89182	2.83321	7.43721	4.40672	5.3845
-0.92199	2.56495	6.61874	3.89182	2.3979	7.30384	4.35671	5.3845
-0.899853	2.30259	6.64379	4.09434	2.99573	7.72754	4.52179	5.42053
-0.874917	2.30259	6.64898	3.91202	2.30259	6.41346	3.46574	5.55683
-0.852914	2.99573	6.84482	3.91202	2.30259	6.9976	4.70048	5.68358
-0.829844	2.30259	6.63595	3.93183	2.94444	6.51619	3.46574	5.86079
-0.809575	3.71357	6.73459	3.89182	2.99573	6.82979	4.66344	5.57595
-0.784105	2.30259	6.62007	3.93183	2.77259	6.45205	3.52636	5.37064
-0.765169	3.80666	6.76964	3.91202	2.94444	6.48616	3.43399	5.60947
-0.744899	2.99573	6.85435	4.04305	2.30259	6.43133	3.43399	5.35659
-0.72583	3.80666	6.88857	4.07754	2.30259	6.04501	3.29584	5.34233
-0.706361	2.30259	4.91265	3.17805	1.79176	6.32972	4.14313	5.34233
-0.687158	2.30259	6.62141	4.12713	2.30259	6.37673	3.4012	5.34711
-0.67129	2.30259	5.56452	4.38203	2.99573	7.18083	3.46574	5.33754
-0.655154	2.30259	4.89035	3.17805	1.79176	6.55678	4.20469	5.34711
-0.635018	2.30259	6.63332	3.98898	2.77259	6.01616	3.3322	5.35186
-0.62155	2.19722	4.89784	3.17805	1.79176	6.37843	4.15888	5.35659
-0.607281	2.30259	6.63463	3.97029	2.83321	6.01616	3.3322	5.33272
-0.588212	2.3979	4.91265	3.21888	1.79176	5.98896	4.14313	5.33272
-0.570876	2.3979	6.632	4.04305	2.30259	5.89715	3.29584	5.35186
-0.554341	2.3979	4.89035	3.17805	1.79176	6.44413	4.17439	5.35659
-0.544873	2.30259	6.62936	3.91202	2.99573	5.95584	3.2581	5.33272
-0.532871	2.30259	4.90527	3.17805	1.79176	6.45205	4.44265	5.51343
-0.518602	2.30259	6.632	3.95124	2.77259	5.90808	3.3673	5.34233
-0.500467	2.3979	4.89035	3.17805	1.94591	6.31173	4.15888	5.34711
-0.481264	2.30259	6.63726	3.95124	2.89037	5.98394	3.3322	5.33754
-0.477664	2.30259	4.91265	3.17805	1.79176	6.2653	4.14313	5.33754
-0.463929	2.30259	6.63726	3.91202	2.99573	5.95584	3.29584	5.35186
-0.444459	2.30259	4.89784	3.21888	1.79176	5.90263	4.14313	5.34711
-0.436058	2.30259	6.61874	3.91202	2.99573	5.7869	3.2581	5.33272
-0.424857	2.30259	4.89784	3.17805	1.94591	5.84354	4.18965	5.34711
-0.416989	2.30259	6.62539	3.97029	2.83321	5.76832	3.2581	5.33754
-0.405387	2.30259	4.89784	3.21888	1.79176	6.06611	4.14313	5.33754
-0.396986	2.3979	6.62672	3.91202	2.99573	5.87493	3.29584	5.33754
-0.37805	2.30259	4.91998	3.21888	1.79176	5.99396	4.07754	5.35186
-0.368983	2.3979	6.63463	3.8712	2.89037	5.95064	3.29584	5.33754
-0.366049	2.30259	4.89784	3.21888	1.79176	6.20859	4.17439	5.34233
-0.356714	2.30259	6.63332	4.14313	2.99573	6.09357	3.3322	5.3845
-0.343246	2.3979	4.89784	3.61092	3.29584	6.98934	3.8712	5.33272
-0.335511	2.30259	4.90527	3.21888	1.79176	5.44674	3.2581	5.88888
-0.330577	2.30259	6.63726	3.91202	2.94444	5.826	3.29584	5.32788
-0.319643	2.3979	4.90527	3.17805	1.94591	6.1203	4.48864	5.43808
-0.311108	2.30259	6.62274	3.95124	2.99573	5.91889	3.29584	5.33754
-0.299107	2.48491	4.89784	3.21888	1.79176	5.89715	4.11087	5.34233
-0.294706	2.3979	6.63463	3.91202	2.89037	5.69373	3.2581	5.34233
-0.282038	2.3979	4.89784	3.21888	1.79176	5.70711	4.47734	5.4161
-0.270969	2.3979	6.62804	4.04305	2.99573	6.10256	3.4012	5.33754
-0.263235	2.30259	4.91265	3.17805	1.94591	6.32077	4.11087	5.35659
-0.252834	2.3979	6.62936	3.89182	2.99573	5.76519	3.2581	5.33272
-0.254434	2.3979	4.91998	3.21888	1.79176	5.78383	4.23411	5.35659
-0.248166	2.30259	6.62936	3.91202	2.77259	5.76832	3.29584	5.34233
-0.237632	2.3979	4.90527	3.17805	1.94591	5.9135	4.51086	5.62402
-0.237632	2.30259	6.6174	4.02535	2.30259	5.7301	3.21888	5.32788
-0.230831	2.30259	4.91265	3.21888	1.79176	5.76519	4.49981	5.36598
-0.227897	2.3979	6.62936	3.97029	2.83321	5.69709	3.2581	5.33272
-0.214962	2.3979	4.89784	3.21888	1.79176	5.57215	4.47734	5.47646
-0.197626	2.3979	6.63332	3.93183	2.94444	5.65948	3.2581	5.33272
-0.203627	2.30259	4.89784	3.21888	1.94591	5.72685	4.39445	5.42935
-0.209361	2.3979	6.63463	3.97029	2.99573	5.79606	3.2581	5.34711
-0.195759	2.3979	4.90527	3.21888	1.94591	5.82008	4.06044	5.36129
-0.203494	2.30259	6.62804	3.91202	2.99573	5.84932	3.3322	5.33272
-0.180824	2.30259	4.91265	3.21888	1.79176	5.78996	4.07754	5.35659
